m.01y5v5	Silvana Mangano	m.06c62	Rome	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.04sry	Martin Scorsese	m.0ccvx	Queens	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0bcpnz	George Coe	m.01sn04	Jamaica	people.person.place_of_birth
m.04qxvw	Robert Cummings	m.013h1c	Joplin	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01w2r30	Carrie Brownstein	m.0d9jr	Seattle	people.person.place_of_birth
m.01qqhmy	Walter Hawkins	m.0dc95	Oakland	music.artist.origin,people.person.place_of_birth
m.06hs2c	Michael Constantine	m.0zlgm	Reading	people.person.place_of_birth
m.01vtqml	Ozzy Osbourne	m.01ybv0	Aston	people.person.place_of_birth
m.0jvhpf	Norman Steinberg	m.0cr3d	Brooklyn	people.person.place_of_birth
m.03fwln	Priyanka Chopra	m.01ttjx	Jamshedpur	people.person.place_of_birth
m.022kd6	Krystian Zimerman	m.0jm92	Zabrze	people.person.place_of_birth
m.0g26qr	Corey Allen	m.01sn3	Cleveland	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01gf5h	Chris Cornell	m.0d9jr	Seattle	people.person.place_of_birth,music.artist.origin
m.06r0mp	Kathy Mattea	m.010x7g	South Charleston	music.artist.origin,people.person.place_of_birth
m.02pp_q_	Jerry Belson	m.030qb3t	Los Angeles	people.person.place_of_birth,people.deceased_person.place_of_death
m.07wn_5	Sandrine Bonnaire	m.0g8g_6	Gannat	people.person.place_of_birth
m.02n6fn	Peggy Ashcroft	m.02gw_w	Croydon	people.person.place_of_birth
m.01cj6y	Adrien Brody	m.03vc_x	Woodhaven	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.03lmzl	Keith Carradine	m.0r5y9	San Mateo	people.person.place_of_birth
m.03qnb_4	Justin Chadwick	m.052bw	Manchester	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0404wqb	Ariel Winter	m.071vr	San Diego	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01sh9vg	Debbie Allen	m.03l2n	Houston	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0ddlr0	Andrew Rannells	m.0chrx	Omaha	people.person.place_of_birth
m.01wp8w7	Van Morrison	m.01l63	Belfast	people.person.place_of_birth,music.artist.origin,people.person.places_lived..people.place_lived.location
m.02d9dk	Janet Baker	m.032t_b	Hatfield	people.person.place_of_birth
m.0qkm_	Louis Prima	m.0f2tj	New Orleans	people.person.place_of_birth,music.artist.origin,people.deceased_person.place_of_death
m.07krsb	Hanna Schygulla	m.0jx5j	Chorzów	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.02ymv4	Brenda Fricker	m.02cft	Dublin	people.person.place_of_birth
m.01dq69	José Feliciano	m.01cvwc	Lares	music.artist.origin,people.person.place_of_birth
m.03q4y7	Billy Vera	m.0r3wm	Riverside	people.person.place_of_birth
m.05bjx7	Jerzy Stuhr	m.0491y	Kraków	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01l50pd	Delbert McClinton	m.0105y2	Lubbock	people.person.place_of_birth,people.person.places_lived..people.place_lived.location,music.artist.origin
m.04p19x	Joe Dallesandro	m.0rkkv	Pensacola	people.person.place_of_birth
m.01v4_p	Zubin Mehta	m.04vmp	Mumbai	people.person.place_of_birth
m.025mb_	Betty White	m.0s5cg	Oak Park	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.05wqr1	William Sanderson	m.0c_m3	Memphis	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01w724	Billy Preston	m.03l2n	Houston	people.person.place_of_birth
m.01wm3tg	Keb' Mo'	m.05h9c1	South Los Angeles	people.person.place_of_birth
m.02w7dfv	Josh Gad	m.0rh_v	Davie	people.person.place_of_birth
